經費規模,專案類型,評估工時,開發工時,難中易,專案起訖時間,專案成效
10-30萬,客製化專案,6,5.1,中,2022/8,9/需求明確，於客戶要求限期內完工
31-50萬,客製化專案,30,80.9,難,2022/9~2022/12,8/需求明確，於客戶要求期限內完工，但系統架構較於複雜，故比當初實際評估工時長
31-50萬,客製化專案,12,24.7,中,2022/9~2022/12,9/需求明確，於客戶要求限期內完工
31-50萬,APP開發,7,8.1,中,2022/7~2022/11,8/需求明確，於客戶要求期限內完工，某些功能初次開發，故比當初實際評估工時長
31-50萬,客製化專案,30,25.1,中,2022/10~2022/11,9/需求明確，於客戶要求限期內完工
31-50萬,客製化專案,22,9.8,中,2022/10~2022/11,9/需求明確，於客戶要求期限內完工(屬長期合作型)
10-30萬,網站開發,14,0.8,易,2022/9~2022/11,9/需求明確，於客戶要求期限內完工(屬長期合作型)
10-30萬,網站開發,15,18.2,中,2022/9~2022/10,9/需求明確，於客戶要求期限內完工(屬長期合作型)
31-50萬,客製化專案,20,22.9,中,2022/7~2022/9,9/需求明確，於客戶要求期限內完工(屬長期合作型)
31-50萬,APP開發,7,7.3,中,2022/7~2022/9,9/需求明確，於客戶要求期限內完工(屬長期合作型)
51-100萬,APP開發,7,11.3,中,2022/6~2022/8,6/需求不明確，測試期間多半在進行需求調整，雖於履約期限內完成，但雙方多次討論無法達成共識，專案成效較低
100萬以上,客製化專案,193,276.51,中,2022/3~2022/10,5/需求多次調整，測試期間多半在進行需求調整，故比實際評估工時長(屬長期合作型)
51-100萬,客製化專案,31,79.08,中,2022/1~2022/3,5/需求多次調整，測試期間多半在進行需求調整，故比實際評估工時長(屬長期合作型)
10-30萬,客製化專案,10,5.8,易,2022/10~2022/12,9/需求明確，於客戶要求限期內完工
10-30萬,APP開發,5,0.3,易,2022/6~2022/8,9/需求明確，於客戶要求限期內完工
10-30萬,APP開發,2,0.2,易,2022/5~2022/6,9/需求明確，於客戶要求限期內完工
10-30萬,客製化專案,30,7.7,中,2022/2~2022/7,9/需求明確，於客戶要求限期內完工
10-30萬,客製化專案,5,13.25,難,2022/4~2022/9,5/客戶沒有明確訂定結案時間，需求來回討論，故完成時間過長
31-50萬,客製化專案,40,52.9,中,2022/6~2022/12,8/需求明確，於客戶要求期限內完工，但系統架構較於複雜，故比當初實際評估工時長
51-100萬,客製化專案,99,125.8,難,2022/2~2022/8,7/系統架構較於複雜，故比當初實際評估工時長
31-50萬,客製化專案,14,13.5,中,2022/1~2022/3,9/需求明確，於客戶要求限期內完工
51-100萬,網站開發,45,62.6,中,2022/9~2022/12,5/本案需求單位較多，測試期間多半在進行需求調整，故比實際評估工時長，專案成效較低
51-100萬,客製化專案,61,23.9,中,2022/10-2023/4,9/需求明確，於客戶要求限期內完工
10-30萬,網站開發,13,11.6,易,2022/4,9/需求明確，於客戶要求限期內完工
10-30萬,網站開發,3,0.2,易,2022/11,9/需求明確，於客戶要求限期內完工
31-50萬,客製化專案,15,42.9,中,2022/7~2022/9,4/需求不明確，雖於客戶要求期限內完工，但需求方要求額外項目多，故比當初實際評估工時長
